Calibre,Projectile Type,Projectile Dimension,dia,Projectile Mass,Total Mass with Sabot,Petal Burst Pressure,Powder Mass,Actual Velocity,Expected Velocity,Shape,s_type,Breadth,Height,Material,c_drag,Surface Area,Volume,SA/Vol,Density,Moment of Inertia,cd,Sabot Length,Plate Material,Plate Thickness,Impact Angle,Kinetic Energy,Perforated
40 mm,A,11.76,11.76,5.9,9.09,30.36,6.22,1416.87,1414.81,cylindrical,type2,12.18,6.99,steel,0.473,787.5,612.082,1.287,7800,0.4334,0.266,52.96,Titanium,29.97,42.2,5922.19,0
40 mm,C,7.47,7.47,17.83,19.43,67.99,7.01,1206.7,1185.44,spherical,type1,5.67,7.8,steel,0.487,878.647,385.258,2.281,7800,0.3834,0.594,53.27,Titanium,27.11,13.0,12981.35,0
40 mm,A,9.32,9.32,16.36,18.71,47.01,3.39,961.77,1018.63,ogive,type3,3.38,3.16,steel,0.644,177.937,2094.446,0.085,7800,0.3047,0.075,44.64,Aluminum,23.69,39.1,7566.51,0
29 mm,A,12.65,12.65,11.75,15.18,45.72,6.6,1210.78,1189.51,cylindrical,type2,11.08,3.92,steel,0.41,908.321,921.181,0.986,7800,0.1309,0.08,49.7,Steel,29.05,33.3,8612.68,0
40 mm,A,17.55,17.55,7.95,10.09,41.71,1.89,1634.72,1691.65,spherical,type2,8.4,7.52,aluminum,0.391,519.436,469.777,1.106,2700,0.1671,0.503,34.73,Aluminum,9.93,25.5,10622.43,1
29 mm,A,7.58,7.58,24.16,28.11,43.13,3.91,927.52,876.31,spherical,type3,12.95,5.06,tungsten,0.452,791.779,1223.875,0.647,19300,0.1953,0.196,41.65,Aluminum,26.94,23.6,10392.34,0
40 mm,C,14.18,14.18,16.69,18.78,51.2,1.68,1103.89,1089.79,cylindrical,type2,8.26,12.98,aluminum,0.681,654.182,2627.505,0.249,2700,0.4584,0.151,63.38,Aluminum,13.97,14.4,10168.99,0
40 mm,C,16.3,16.3,18.58,21.07,26.41,1.37,1789.37,1776.27,spherical,type2,13.0,11.77,tungsten,0.2,414.883,1960.439,0.212,19300,0.3661,0.531,61.78,Aluminum,5.81,9.1,29745.14,1
29 mm,C,19.04,19.04,15.63,18.05,45.5,1.45,1704.1,1728.88,ogive,type2,8.6,8.97,tungsten,0.723,338.319,1561.437,0.217,19300,0.4932,0.343,92.47,Steel,5.81,3.8,22694.42,1
40 mm,C,6.75,6.75,21.13,23.43,59.12,1.73,737.37,755.79,spherical,type1,12.18,7.62,tungsten,0.437,206.317,2252.945,0.092,19300,0.3266,0.389,86.6,Steel,9.7,32.1,5744.34,0
40 mm,A,18.9,18.9,22.93,26.47,49.89,6.85,1283.37,1319.48,cylindrical,type1,11.37,12.8,aluminum,0.603,471.386,412.506,1.143,2700,0.1339,0.054,20.57,Aluminum,24.49,10.0,18883.3,0
29 mm,C,14.02,14.02,12.65,14.12,29.95,4.81,771.95,785.29,spherical,type3,5.46,4.16,tungsten,0.733,544.692,2671.761,0.204,19300,0.2911,0.193,38.38,Steel,27.42,22.3,3769.11,0
29 mm,B,16.5,16.5,18.8,21.5,41.78,7.63,1716.3,1749.37,spherical,type1,6.02,13.54,steel,0.558,984.804,697.661,1.412,7800,0.1447,0.193,91.02,Steel,8.2,40.0,27689.45,1
29 mm,B,5.81,5.81,9.6,12.46,46.58,4.77,1185.7,1140.81,spherical,type2,13.69,2.64,steel,0.653,133.561,259.869,0.514,7800,0.4605,0.468,45.18,Aluminum,26.13,30.2,6748.25,0
29 mm,C,12.59,12.59,18.04,21.59,60.13,5.4,1160.28,1179.72,spherical,type1,5.0,14.0,aluminum,0.844,631.134,1214.609,0.52,2700,0.2114,0.262,58.22,Titanium,23.89,7.6,12143.17,0
